Название;ELANTRA AD 1,6 AT VIN 000840;GENESIS G90 3.8 AWD VIN 000058;GRAND SANTA FE 2.2D  VIN 000282;I30 NEW 1.6 AT VIN 029294;SANTA FE 2.2 D AT 4WD VIN 004109;SANTA FE 2.4 AT 4WD VIN 002241;Elantra 1,6 MТ VIN 000235;Santa Fe 2,2 АТ VIN 000638;Santa Fe 2,2 АТ VIN 003912
Год;2017;2017;2016;2017;2017;2017;2016;2017;2017
Объем двигателя;1,6;3,8;2,2;1,6;2,2;2,4;1600;2,2;2,2
Мощность, л.с.;128;309;200;128;200;171;128;200;200
Тип двигателя;Бензиновый;Бензиновый;Дизельный;Бензиновый;Дизельный;Бензиновый;Бензиновый;Дизельный;Дизельный
КПП;6АТ;8АТ;6АТ;6АТ;6АТ;6АТ;6MТ;6АТ;6АТ
Цвет;Белый;Черный;Белый;Белый;Белый;Белый;Белый;Белый;Серый
Цена;1196000;4450000;2851200;1276700;2589000;2399000;1035000;2265000;2399000
Цена с выгодой;1146000;3950000;2644600;1226700;2381400;2280000;987800;2066000;2249000
Дилерский центр;Яблоновский;Яблоновский;Яблоновский;Яблоновский;Яблоновский;Яблоновский;Новороссийск;Новороссийск;Новороссийск
Менеджер;Симангулин;Симангулин;Симангулин;Симангулин;Симангулин;Симангулин;Головков;Головков;Головков
Название комплектации;ACTIVE;PREMIER;HIGH-TECH + ADVANCED;COMFORT;HIGH-TECH + ADVANCED;HIGH-TECH + ADVANCED;Base;Comfort;Dynamic
;ABS (антиблокировочная система тормозов);Подушки безопасности водителя и переднего пассажира;Фронтальные подушки безопасности водителя и переднего пассажира;Передние фары прожекторного типа;Фронтальные подушки безопасности водителя и переднего пассажира;Фронтальные подушки безопасности водителя и переднего пассажира;ABS (антиблокировочная система тормозов);Фронтальные подушки безопасности водителя и переднего пассажира;Фронтальные подушки безопасности водителя и переднего пассажира
;EBD (система распределения тормозных усилий);Боковые подушки безопасности и шторки безопасности для передних и задних пассажиров;Передние боковые подушки безопасности;Противотуманные фары;Передние боковые подушки безопасности;Передние боковые подушки безопасности;EBD (система распределения тормозных усилий);Передние боковые подушки безопасности;Передние боковые подушки безопасности
;ESP (электронная система стабилизации курсовой усточивости);Коленная подушка безопасности водителя;Шторки безопасности;Передние и задние брызговики;Шторки безопасности;Шторки безопасности;ESP (электронная система стабилизации курсовой усточивости);Шторки безопасности;Шторки безопасности
